"2021 Con1East Gauge ",,,
"Hourly Stream Data (Summary)",,,
,,,
"Dataset Reference Format:",,,
,"[Year of data collection] Stream data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,
," URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].",,
,,,
"Dataset Header Description",,,
,"Column(s)| Variable| Description| [units]",,
,"1st Column  | DateTime| Time stamp of variable collection time* [MM/DD/YY  hr:mm]",,
,"2nd Column|Discharge -L/s|Stream Discharge instantaneous measurements [L/s]",,
,"3rd Column |StreamTemp-C| Stream Temperature [C]",,
,"4th Column |StreamEC-mS/cm| Stream Electrical Conductivity [mS/cm]",,
,,,
,,,
,"**Note: -6999 denotes missing data",,
,,,
,,,
"DateTime","Discharge-L/s","StreamTemp-C","StreamEC-mS/cm"
"1/16/2021 0:00",24.52,1.3,0.068
"1/16/2021 1:00",24.7,1.2,0.068
"1/16/2021 2:00",22.3,1.2,0.068
"1/16/2021 3:00",24.34,1.1,0.068
"1/16/2021 4:00",17.97,1.1,0.068
"1/16/2021 5:00",21.29,1,0.068
"1/16/2021 6:00",23.29,0.9,0.068
"1/16/2021 7:00",23.09,0.9,0.068
"1/16/2021 8:00",24.39,0.8,0.068
"1/16/2021 9:00",21.19,0.7,0.067
"1/16/2021 10:00",21.34,0.7,0.067
"1/16/2021 11:00",21.93,0.6,0.067
"1/16/2021 12:00",19.87,0.6,0.067
"1/16/2021 13:00",22.9,0.6,0.067
"1/16/2021 14:00",20.74,0.7,0.068
"1/16/2021 15:00",22.06,0.8,0.068
"1/16/2021 16:00",21.75,0.9,0.068
"1/16/2021 17:00",23.03,1,0.068
"1/16/2021 18:00",24.22,1,0.068
"1/16/2021 19:00",22.11,0.9,0.068
"1/16/2021 20:00",23.44,0.9,0.068
"1/16/2021 21:00",20.91,1,0.068
"1/16/2021 22:00",22.7,1,0.068
"1/16/2021 23:00",23.95,1,0.068
"1/17/2021 0:00",22.48,1.1,0.068
"1/17/2021 1:00",23.48,1.1,0.069
"1/17/2021 2:00",23.61,1.2,0.069
"1/17/2021 3:00",24.31,1.2,0.069
"1/17/2021 4:00",23.18,1.2,0.069
"1/17/2021 5:00",20.34,1.2,0.069
"1/17/2021 6:00",23.36,1.2,0.069
"1/17/2021 7:00",22,1.2,0.069
"1/17/2021 8:00",22.01,1.1,0.069
"1/17/2021 9:00",21.74,1.1,0.069
"1/17/2021 10:00",22.22,1.1,0.069
"1/17/2021 11:00",21.55,1.1,0.068
"1/17/2021 12:00",22.48,1.2,0.069
"1/17/2021 13:00",24.24,1.4,0.069
"1/17/2021 14:00",22.73,1.5,0.069
"1/17/2021 15:00",22.96,1.5,0.069
"1/17/2021 16:00",21,1.6,0.069
"1/17/2021 17:00",23.02,1.6,0.069
"1/17/2021 18:00",20.89,1.6,0.069
"1/17/2021 19:00",20.96,1.6,0.069
"1/17/2021 20:00",23.82,1.6,0.069
"1/17/2021 21:00",23.59,1.5,0.069
"1/17/2021 22:00",22.65,1.5,0.069
"1/17/2021 23:00",21.27,1.5,0.069
"1/18/2021 0:00",22.54,1.5,0.069
"1/18/2021 1:00",21.85,1.4,0.069
"1/18/2021 2:00",20.68,1.3,0.069
"1/18/2021 3:00",22.27,1.2,0.069
"1/18/2021 4:00",22.01,1.1,0.069
